Country,ds,y_tst,yhat,level_1,adjustment_Forecasts_test,final_prediction
Trinidad and Tobago,1956-01-01,,,,,
Tunisia,1956-01-01,,,,,
Turkey,1956-01-01,,,,,
Turkmenistan,1956-01-01,,,,,
Turks and Caicos Islands,1956-01-01,,,,,
United Arab Emirates,1956-01-01,,,,,
Uzbekistan,1956-01-01,,,,,
Vanuatu,1956-01-01,,,,,
Venezuela,1956-01-01,,,,,
Vietnam,1956-01-01,,,,,
Wallis and Futuna,1956-01-01,,,,,
Albania,1957-01-01,,,,,
Anguilla,1957-01-01,,,,,
Armenia,1957-01-01,,,,,
Azerbaijan,1957-01-01,,,,,
Bahamas,1957-01-01,,,,,
Bahrain,1957-01-01,,,,,
Belize,1957-01-01,,,,,
Bosnia and Herzegovina,1957-01-01,,,,,
Brazil,1957-01-01,,,,,
British Virgin Islands,1957-01-01,,,,,
Brunei,1957-01-01,,,,,
Cape Verde,1957-01-01,,,,,
Cayman Islands,1957-01-01,,,,,
Chile,1957-01-01,,,,,
China,1957-01-01,,,,,
Colombia,1957-01-01,,,,,
Cook Islands,1957-01-01,,,,,
Dominica,1957-01-01,,,,,
Dominican Republic,1957-01-01,,,,,
Ecuador,1957-01-01,,,,,
Falkland Islands,1957-01-01,,,,,
Fiji,1957-01-01,,,,,
French Guiana,1957-01-01,,,,,
French Polynesia,1957-01-01,,,,,
Georgia,1957-01-01,,,,,
Greenland,1957-01-01,,,,,
Grenada,1957-01-01,,,,,
Guadeloupe,1957-01-01,,,,,
Guam,1957-01-01,,,,,
Guyana,1957-01-01,,,,,
Jamaica,1957-01-01,,,,,
Jordan,1957-01-01,,,,,
Kazakhstan,1957-01-01,,,,,
Kosovo,1957-01-01,,,,,
Kuwait,1957-01-01,,,,,
Kyrgyzstan,1957-01-01,,,,,
Lebanon,1957-01-01,,,,,
Malaysia,1957-01-01,,,,,
Mauritius,1957-01-01,,,,,
Mayotte,1957-01-01,,,,,
Mexico,1957-01-01,,,,,
Micronesia (country),1957-01-01,,,,,
Moldova,1957-01-01,,,,,
Montserrat,1957-01-01,,,,,
New Caledonia,1957-01-01,,,,,
Niue,1957-01-01,,,,,
North Korea,1957-01-01,,,,,
North Macedonia,1957-01-01,,,,,
Palestine,1957-01-01,,,,,
Panama,1957-01-01,,,,,
Paraguay,1957-01-01,,,,,
Peru,1957-01-01,,,,,
Philippines,1957-01-01,,,,,
Qatar,1957-01-01,,,,,
Reunion,1957-01-01,,,,,
Russia,1957-01-01,,,,,
Saint Kitts and Nevis,1957-01-01,,,,,
Saint Lucia,1957-01-01,,,,,
Saint Vincent and the Grenadines,1957-01-01,,,,,
Samoa,1957-01-01,,,,,
Saudi Arabia,1957-01-01,,,,,
Seychelles,1957-01-01,,,,,
South Korea,1957-01-01,,,,,
Sri Lanka,1957-01-01,,,,,
Suriname,1957-01-01,,,,,
Syria,1957-01-01,,,,,
Thailand,1957-01-01,,,,,
Tokelau,1957-01-01,,,,,
Tonga,1957-01-01,,,,,
Trinidad and Tobago,1957-01-01,,,,,
