Country,ds,y_tr,y_repr_tr,adjusted_val,y_tst,yhat,level_1,adjustment_Forecasts_test,final_prediction
India,1960-01-01,45.2,46.4,-1.1999999999999957,,,,,
Indonesia,1960-01-01,46.5,46.4,0.10000000000000142,,,,,
Iran,1960-01-01,44.0,46.4,-2.3999999999999986,,,,,
Iraq,1960-01-01,52.6,46.4,6.200000000000003,,,,,
Kenya,1960-01-01,48.7,46.4,2.3000000000000043,,,,,
Kiribati,1960-01-01,47.9,46.4,1.5,,,,,
Libya,1960-01-01,40.3,46.4,-6.100000000000001,,,,,
Maldives,1960-01-01,38.5,46.4,-7.899999999999999,,,,,
Marshall Islands,1960-01-01,53.8,46.4,7.399999999999999,,,,,
Mauritania,1960-01-01,44.8,46.4,-1.6000000000000014,,,,,
Mongolia,1960-01-01,45.0,46.4,-1.3999999999999986,,,,,
Morocco,1960-01-01,42.0,46.4,-4.399999999999999,,,,,
Myanmar,1960-01-01,43.9,46.4,-2.5,,,,,
Namibia,1960-01-01,47.7,46.4,1.3000000000000043,,,,,
Nauru,1960-01-01,58.6,46.4,12.200000000000003,,,,,
Nicaragua,1960-01-01,46.1,46.4,-0.29999999999999716,,,,,
Oman,1960-01-01,35.5,46.4,-10.899999999999999,,,,,
Pakistan,1960-01-01,44.9,46.4,-1.5,,,,,
Palau,1960-01-01,53.9,46.4,7.5,,,,,
Papua New Guinea,1960-01-01,45.7,46.4,-0.6999999999999957,,,,,
Sao Tome and Principe,1960-01-01,43.0,46.4,-3.3999999999999986,,,,,
Solomon Islands,1960-01-01,47.7,46.4,1.3000000000000043,,,,,
South Africa,1960-01-01,52.7,46.4,6.300000000000004,,,,,
